Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Actors_Stars,Direction_Stars,Screenplay_Stars,Oscars,Oscar_Nominations,BAFTA_Awards,BAFTA_Nominations,Golden_Globes,Golden_Globe_Nominations,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
42,tt0032904,2012-12-21,2017-03-28,Actors: 4.9 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 2 Oscar Nominations: 6 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,The Philadelphia Story,The Philadelphia Story,https://www.imdb.com/title/tt0032904/,Movie,7.8,112,1940,"['Comedy', 'Romance']",75954,1941-01-17,George Cukor,4.9,4.8,4.8,2.0,6.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,tt0056592,2013-02-05,2017-03-28,Actors: 4.8 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 3 Oscar Nominations: 8 BAFTA Awards: 0 BAFTA Nominations: 2 Golden Globes: 3 Golden Globe Nominations: 5,To Kill a Mockingbird,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,Movie,8.3,129,1962,"['Crime', 'Drama']",341779,1963-03-16,Robert Mulligan,4.8,4.8,4.7,3.0,8.0,0.0,2.0,3.0,5.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,tt0043278,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 4.8 Stars Screenplay: 4.9 StarsOscars: 6 Oscar Nominations: 8 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 1 Golden Globe Nominations: 3,An American in Paris,An American in Paris,https://www.imdb.com/title/tt0043278/,Movie,7.1,114,1951,"['Drama', 'Musical', 'Romance']",37984,1951-11-11,Vincente Minnelli,4.8,4.8,4.9,6.0,8.0,0.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
45,tt0036868,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 7 Oscar Nominations: 8 BAFTA Awards: 1 BAFTA Nominations: 1 Golden Globes: 1 Golden Globe Nominations: 1,The Best Years of Our Lives,The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,Movie,8.1,170,1946,"['Drama', 'Romance', 'War']",73727,1947-05-29,William Wyler,4.8,4.9,4.9,7.0,8.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,tt0058385,2012-12-24,2017-03-28,Actors: 4.9 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 8 Oscar Nominations: 12 BAFTA Awards: 1 BAFTA Nominations: 2 Golden Globes: 3 Golden Globe Nominations: 5,My Fair Lady,My Fair Lady,https://www.imdb.com/title/tt0058385/,Movie,7.7,170,1964,"['Drama', 'Family', 'Musical', 'Romance']",104550,1964-12-25,George Cukor,4.9,4.9,4.8,8.0,12.0,1.0,2.0,3.0,5.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
47,tt0066921,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 0 Oscar Nominations: 4 BAFTA Awards: 0 BAFTA Nominations: 7 Golden Globes: 0 Golden Globe Nominations: 3,A Clockwork Orange,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,Movie,8.2,136,1971,"['Crime', 'Sci-Fi']",906959,1972-02-02,Stanley Kubrick,5.0,5.0,5.0,0.0,4.0,0.0,7.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,tt0059113,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 5 Oscar Nominations: 10 BAFTA Awards: 0 BAFTA Nominations: 3 Golden Globes: 5 Golden Globe Nominations: 6,Doctor Zhivago,Doctor Zhivago,https://www.imdb.com/title/tt0059113/,Movie,7.9,197,1965,"['Drama', 'Romance', 'War']",84237,1965-12-31,David Lean,5.0,5.0,5.0,5.0,10.0,0.0,3.0,5.0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
49,tt0049730,2017-01-21,2017-03-28,***** Actors: 4.9 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 0 Oscar Nominations: 0 BAFTA Awards: 0 BAFTA Award Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 0,The Searchers,The Searchers,https://www.imdb.com/title/tt0049730/,Movie,7.8,119,1956,"['Adventure', 'Drama', 'Western']",99715,1956-05-26,John Ford,4.9,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,tt0073195,2012-12-21,2017-03-28,Actors: 4.7 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 3 Oscar Nominations: 4 BAFTA Awards: 0 BAFTA Nominations: 6 Golden Globes: 1 Golden Globe Nominations: 4,Jaws,Jaws,https://www.imdb.com/title/tt0073195/,Movie,8.1,124,1975,"['Adventure', 'Drama', 'Horror', 'Thriller']",689491,1975-06-20,Steven Spielberg,4.7,4.8,4.7,3.0,4.0,0.0,6.0,1.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51,tt0066206,2012-12-21,2017-03-28,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 7 Oscar Nominations: 10 BAFTA Awards: 0 BAFTA Nominations: 2 Golden Globes: 1 Golden Globe Nominations: 3,Patton,Patton,https://www.imdb.com/title/tt0066206/,Movie,7.9,172,1970,"['Biography', 'Drama', 'War']",110705,1970-04-02,Franklin J. Schaffner,5.0,5.0,5.0,7.0,10.0,0.0,2.0,1.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,tt0064115,2012-12-21,2017-03-28,***** Actors: 4.6 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 4 Oscar Nominations: 7 BAFTA Awards: 8 BAFTA Nominations: 9 Golden Globes: 1 Golden Globe Nominations: 4,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,Movie,8.0,110,1969,"['Biography', 'Crime', 'Drama', 'Western']",231496,1969-09-24,George Roy Hill,4.6,4.8,4.7,4.0,7.0,8.0,9.0,1.0,4.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,tt0040897,2012-12-21,2017-03-28,Actors: 4.7 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 3 Oscar Nominations: 4 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 3 Golden Globe Nominations: 3,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,Movie,8.2,126,1948,"['Adventure', 'Drama', 'Western']",136615,1948-01-24,John Huston,4.7,4.8,4.8,3.0,4.0,0.0,1.0,3.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,tt0060196,2013-10-08,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 0 Oscar Nominations: 0 BAFTA Awards: 0 BAFTA Award Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 0,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,Movie,8.8,178,1966,"['Adventure', 'Western']",846740,1967-12-29,Sergio Leone,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,tt0053604,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 5 Oscar Nominations: 10 BAFTA Awards: 3 BAFTA Nominations: 3 Golden Globes: 3 Golden Globe Nominations: 4,The Apartment,The Apartment,https://www.imdb.com/title/tt0053604/,Movie,8.3,125,1960,"['Comedy', 'Drama', 'Romance']",207364,1960-06-29,Billy Wilder,5.0,5.0,5.0,5.0,10.0,3.0,3.0,3.0,4.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,tt0091763,2012-12-21,2017-03-28,***** Actors: 4.8 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 4 Oscar Nominations: 8 BAFTA Awards: 2 BAFTA Nominations: 3 Golden Globes: 3 Golden Globe Nominations: 4,Platoon,Platoon,https://www.imdb.com/title/tt0091763/,Movie,8.1,120,1986,"['Drama', 'War']",453120,1987-02-06,Oliver Stone,4.8,5.0,5.0,4.0,8.0,2.0,3.0,3.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,tt0044706,2012-12-21,2017-03-28,***** Actors: 4.6 Stars Direction: 4.7 Stars Screenplay: 4.7 StarsOscars: 4 Oscar Nominations: 7 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 4 Golden Globe Nominations: 7,High Noon,High Noon,https://www.imdb.com/title/tt0044706/,Movie,7.9,85,1952,"['Drama', 'Thriller', 'Western']",113104,1952-07-30,Fred Zinnemann,4.6,4.7,4.7,4.0,7.0,0.0,0.0,4.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
58,tt0112573,2012-12-23,2017-03-28,Actors: 4.7 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 5 Oscar Nominations: 10 BAFTA Awards: 3 BAFTA Nominations: 5 Golden Globes: 1 Golden Globe Nominations: 4,Braveheart,Braveheart,https://www.imdb.com/title/tt0112573/,Movie,8.3,178,1995,"['Biography', 'Drama', 'War']",1123820,1995-05-24,Mel Gibson,4.7,4.8,4.7,5.0,10.0,3.0,5.0,1.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,tt0099348,2012-12-21,2017-03-28,***** Actors: 4.5 Stars Direction: 4.8 Stars Screenplay: 4.6 StarsOscars: 7 Oscar Nominations: 12 BAFTA Awards: 0 BAFTA Nominations: 9 Golden Globes: 3 Golden Globe Nominations: 6,Dances with Wolves,Dances with Wolves,https://www.imdb.com/title/tt0099348/,Movie,8.0,181,1990,"['Adventure', 'Drama', 'Western']",299755,1990-11-21,Kevin Costner,4.5,4.8,4.6,7.0,12.0,0.0,9.0,3.0,6.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,tt0107290,2016-07-14,2017-03-28,Actors: 4.6 Stars Direction: 4.9 Stars Screenplay: 4.7 StarsOscars: 3 Oscar Nominations: 3 BAFTA Awards: 1 BAFTA Nominations: 2 Golden Globes: 0 Golden Globe Nominations: 0,Jurassic Park,Jurassic Park,https://www.imdb.com/title/tt0107290/,Movie,8.2,127,1993,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1110480,1993-06-11,Steven Spielberg,4.6,4.9,4.7,3.0,3.0,1.0,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
61,tt0070047,2013-05-04,2017-03-28,Actors: 4.8 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 2 Oscar Nominations: 10 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 4 Golden Globe Nominations: 7,The Exorcist,The Exorcist,https://www.imdb.com/title/tt0070047/,Movie,8.1,122,1973,['Horror'],474411,1973-12-26,William Friedkin,4.8,4.8,4.8,2.0,10.0,0.0,1.0,4.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,tt0253474,2012-12-21,2017-03-28,***** Actors: 4.9 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 3 Oscar Nominations: 7 BAFTA Awards: 1 BAFTA Nominations: 5 Golden Globes: 0 Golden Globe Nominations: 2,The Pianist,The Pianist,https://www.imdb.com/title/tt0253474/,Movie,8.5,150,2002,"['Biography', 'Drama', 'Music', 'War']",960586,2003-03-28,Roman Polanski,4.9,4.8,4.7,3.0,7.0,1.0,5.0,0.0,2.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
63,tt0099685,2012-12-21,2017-03-28,***** Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 5 StarsOscars: 1 Oscar Nominations: 6 BAFTA Awards: 5 BAFTA Nominations: 7 Golden Globes: 0 Golden Globe Nominations: 5,Goodfellas,GoodFellas,https://www.imdb.com/title/tt0099685/,Movie,8.7,145,1990,"['Biography', 'Crime', 'Drama']",1314511,1990-09-21,Martin Scorsese,4.8,4.9,5.0,1.0,6.0,5.0,7.0,0.0,5.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,tt0077416,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 4.8 Stars Screenplay: 4.9 StarsOscars: 5 Oscar Nominations: 9 BAFTA Awards: 2 BAFTA Nominations: 9 Golden Globes: 1 Golden Globe Nominations: 6,The Deer Hunter,The Deer Hunter,https://www.imdb.com/title/tt0077416/,Movie,8.1,183,1978,"['Drama', 'War']",373494,1979-02-23,Michael Cimino,5.0,4.8,4.9,5.0,9.0,2.0,9.0,1.0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,tt0020629,2012-12-21,2017-03-28,***** Actors: 4.7 Stars Direction: 4.9 Stars Screenplay: 4.7 StarsOscars: 2 Oscar Nominations: 4 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,All Quiet on the Western Front,All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/,Movie,8.1,152,1930,"['Drama', 'War']",69664,1930-08-24,Lewis Milestone,4.7,4.9,4.7,2.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,tt0061418,2015-04-19,2017-03-28,Actors: 4.8 Stars Direction: 4.7 Stars Screenplay: 4.8 StarsOscars: 2 Oscar Nominations: 10 BAFTA Awards: 2 BAFTA Nominations: 4 Golden Globes: 0 Golden Globe Nominations: 7,Bonnie and Clyde,Bonnie and Clyde,https://www.imdb.com/title/tt0061418/,Movie,7.7,111,1967,"['Action', 'Biography', 'Crime', 'Drama']",124133,1967-08-14,Arthur Penn,4.8,4.7,4.8,2.0,10.0,2.0,4.0,0.0,7.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,tt0067116,2012-12-21,2017-03-28,***** Actors: 4.9 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 5 Oscar Nominations: 8 BAFTA Awards: 2 BAFTA Nominations: 5 Golden Globes: 3 Golden Globe Nominations: 4,The French Connection,The French Connection,https://www.imdb.com/title/tt0067116/,Movie,7.7,104,1971,"['Action', 'Crime', 'Drama', 'Thriller']",143055,1971-10-09,William Friedkin,4.9,4.8,4.8,5.0,8.0,2.0,5.0,3.0,4.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,tt0021749,2013-09-11,2017-03-28,***** Actors: 4.9 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 0 Oscar Nominations: 0 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,City Lights,City Lights,https://www.imdb.com/title/tt0021749/,Movie,8.5,87,1931,"['Comedy', 'Drama', 'Romance']",205554,1931-03-07,Charles Chaplin,4.9,4.9,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,tt0025316,2012-12-21,2017-03-28,***** Actors: 4.7 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 5 Oscar Nominations: 5 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,It Happened One Night,It Happened One Night,https://www.imdb.com/title/tt0025316/,Movie,8.1,105,1934,"['Comedy', 'Romance']",116231,1934-02-22,Frank Capra,4.7,4.8,4.8,5.0,5.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,tt0043924,2012-12-21,2017-03-28,***** Actors: 4.6 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 6 Oscar Nominations: 9 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 1 Golden Globe Nominations: 4,A Place in the Sun,A Place in the Sun,https://www.imdb.com/title/tt0043924/,Movie,7.7,122,1951,"['Drama', 'Romance']",25734,1951-11-09,George Stevens,4.6,4.8,4.7,6.0,9.0,0.0,0.0,1.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,tt0064665,2012-12-21,2017-03-28,***** Actors: 4.8 Stars Direction: 4.7 Stars Screenplay: 4.9 StarsOscars: 3 Oscar Nominations: 7 BAFTA Awards: 6 BAFTA Nominations: 6 Golden Globes: 1 Golden Globe Nominations: 7,Midnight Cowboy,Midnight Cowboy,https://www.imdb.com/title/tt0064665/,Movie,7.8,113,1969,['Drama'],125747,1969-05-25,John Schlesinger,4.8,4.7,4.9,3.0,7.0,6.0,6.0,1.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,tt0031679,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 11 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,Movie,8.1,129,1939,"['Comedy', 'Drama']",125190,1939-10-19,Frank Capra,4.8,4.8,4.8,1.0,11.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,tt0095953,2012-12-23,2017-03-28,Actors: 5 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 4 Oscar Nominations: 8 BAFTA Awards: 0 BAFTA Nominations: 3 Golden Globes: 2 Golden Globe Nominations: 4,Rain Man,Rain Man,https://www.imdb.com/title/tt0095953/,Movie,8.0,133,1988,['Drama'],561743,1988-12-16,Barry Levinson,5.0,4.9,4.8,4.0,8.0,0.0,3.0,2.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,tt0075686,2012-12-21,2017-03-28,***** Actors: 4.8 Stars Direction: 5 Stars Screenplay: 4.9 StarsOscars: 4 Oscar Nominations: 5 BAFTA Awards: 5 BAFTA Nominations: 6 Golden Globes: 1 Golden Globe Nominations: 5,Annie Hall,Annie Hall,https://www.imdb.com/title/tt0075686/,Movie,7.9,93,1977,"['Comedy', 'Romance']",283212,1977-04-20,Woody Allen,4.8,5.0,4.9,4.0,5.0,5.0,6.0,1.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,tt0116282,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 2 Oscar Nominations: 7 BAFTA Awards: 1 BAFTA Nominations: 6 Golden Globes: 0 Golden Globe Nominations: 4,Fargo,Fargo,https://www.imdb.com/title/tt0116282/,Movie,8.1,98,1996,"['Crime', 'Drama', 'Thriller']",751254,1996-04-05,"Joel Coen, Ethan Coen",5.0,5.0,5.0,2.0,7.0,1.0,6.0,0.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,tt0049261,2012-12-21,2017-03-28,***** Actors: 4.8 Stars Direction: 4.7 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 10 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 1,Giant,Giant,https://www.imdb.com/title/tt0049261/,Movie,7.6,201,1956,"['Drama', 'Western']",43615,1956-11-24,George Stevens,4.8,4.7,4.8,1.0,10.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,tt0046303,2012-12-21,2017-03-28,Actors: 4.7 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 1 Oscar Nominations: 6 BAFTA Awards: 0 BAFTA Nominations: 2 Golden Globes: 0 Golden Globe Nominations: 0,Shane,Shane,https://www.imdb.com/title/tt0046303/,Movie,7.6,118,1953,"['Drama', 'Western']",45810,1953-08-14,George Stevens,4.7,4.8,4.7,1.0,6.0,0.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,tt0032551,2012-12-21,2017-03-28,Actors: 4.6 Stars Direction: 4.8 Stars Screenplay: 4.7 StarsOscars: 2 Oscar Nominations: 7 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,The Grapes of Wrath,The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,Movie,8.1,129,1940,['Drama'],103550,1940-03-15,John Ford,4.6,4.8,4.7,2.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,tt0120689,2014-06-02,2017-03-28,Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 0 Oscar Nominations: 4 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 1,The Green Mile,The Green Mile,https://www.imdb.com/title/tt0120689/,Movie,8.6,189,1999,"['Crime', 'Drama', 'Fantasy', 'Mystery']",1473850,1999-12-10,Frank Darabont,4.8,4.9,4.9,0.0,4.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
80,tt0075860,2014-05-18,2017-03-28,Actors: 4.6 Stars Direction: 4.9 Stars Screenplay: 4.7 StarsOscars: 1 Oscar Nominations: 8 BAFTA Awards: 0 BAFTA Nominations: 4 Golden Globes: 1 Golden Globe Nominations: 8,Close Encounters of the Third Kind,Close Encounters of the Third Kind,https://www.imdb.com/title/tt0075860/,Movie,7.6,138,1977,"['Drama', 'Sci-Fi']",224403,1977-12-14,Steven Spielberg,4.6,4.9,4.7,1.0,8.0,0.0,4.0,1.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,tt0073440,2013-04-06,2017-03-28,***** Actors: 4.7 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 5 BAFTA Awards: 1 BAFTA Nominations: 5 Golden Globes: 1 Golden Globe Nominations: 11,Nashville,Nashville,https://www.imdb.com/title/tt0073440/,Movie,7.6,160,1975,"['Comedy', 'Drama', 'Music']",29642,1975-07,Robert Altman,4.7,4.8,4.8,1.0,5.0,1.0,5.0,1.0,11.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,tt0074958,2012-12-21,2017-03-28,Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 4 Oscar Nominations: 10 BAFTA Awards: 1 BAFTA Nominations: 9 Golden Globes: 4 Golden Globe Nominations: 5,Network,Network,https://www.imdb.com/title/tt0074958/,Movie,8.1,121,1976,['Drama'],177821,1976-11-27,Sidney Lumet,4.8,4.9,4.9,4.0,10.0,1.0,9.0,4.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,tt0061722,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 7 BAFTA Awards: 5 BAFTA Nominations: 7 Golden Globes: 5 Golden Globe Nominations: 7,The Graduate,The Graduate,https://www.imdb.com/title/tt0061722/,Movie,8.0,106,1967,"['Comedy', 'Drama', 'Romance']",295480,1967-12-21,Mike Nichols,5.0,4.8,4.8,1.0,7.0,5.0,7.0,5.0,7.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,tt0069704,2012-12-21,2017-03-28,***** Actors: 4.7 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 0 Oscar Nominations: 5 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 2 Golden Globe Nominations: 4,American Graffiti,American Graffiti,https://www.imdb.com/title/tt0069704/,Movie,7.4,110,1973,"['Comedy', 'Drama']",101579,1973-08-11,George Lucas,4.7,4.8,4.8,0.0,5.0,0.0,1.0,2.0,4.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,tt0110912,2012-12-21,2017-03-28,Actors: 4.7 Stars Direction: 4.9 Stars Screenplay: 5 StarsOscars: 1 Oscar Nominations: 7 BAFTA Awards: 2 BAFTA Nominations: 8 Golden Globes: 1 Golden Globe Nominations: 6,Pulp Fiction,Pulp Fiction,https://www.imdb.com/title/tt0110912/,Movie,8.9,154,1994,"['Crime', 'Drama']",2317096,1994-10-14,Quentin Tarantino,4.7,4.9,5.0,1.0,7.0,2.0,8.0,1.0,6.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,tt0086425,2012-12-23,2017-03-28,***** Actors: 5 Stars Direction: 4.9 Stars Screenplay: 4.9 StarsOscars: 5 Oscar Nominations: 11 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 4 Golden Globe Nominations: 6,Terms of Endearment,Terms of Endearment,https://www.imdb.com/title/tt0086425/,Movie,7.4,132,1983,"['Comedy', 'Drama']",67848,1983-12-09,James L. Brooks,5.0,4.9,4.9,5.0,11.0,0.0,1.0,4.0,6.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,tt0119217,2013-10-29,2017-03-28,Actors: 4.8 Stars Direction: 4.9 Stars Screenplay: 5 StarsOscars: 2 Oscar Nominations: 9 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 1 Golden Globe Nominations: 4,Good Will Hunting,Good Will Hunting,https://www.imdb.com/title/tt0119217/,Movie,8.3,126,1997,"['Drama', 'Romance']",1127389,1998-01-09,Gus Van Sant,4.8,4.9,5.0,2.0,9.0,0.0,0.0,1.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,tt0043265,2012-12-21,2017-03-28,Actors: 4.7 Stars Direction: 4.8 Stars Screenplay: 4.8 StarsOscars: 1 Oscar Nominations: 4 BAFTA Awards: 0 BAFTA Nominations: 3 Golden Globes: 0 Golden Globe Nominations: 0,The African Queen,The African Queen,https://www.imdb.com/title/tt0043265/,Movie,7.7,105,1951,"['Adventure', 'Drama', 'Romance', 'War']",86485,1952-03-21,John Huston,4.7,4.8,4.8,1.0,4.0,0.0,3.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
