Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Actors_Stars,Direction_Stars,Screenplay_Stars,Oscars,Oscar_Nominations,BAFTA_Awards,BAFTA_Nominations,Golden_Globes,Golden_Globe_Nominations,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
11,tt0052357,2013-04-06,2017-03-26,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 0 Oscar Nominations: 2 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 0,Vertigo,Vertigo,https://www.imdb.com/title/tt0052357/,Movie,8.3,128,1958,"['Mystery', 'Romance', 'Thriller']",442517,1958-05-28,Alfred Hitchcock,5.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
12,tt0054215,2012-12-21,2017-03-26,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 0 Oscar Nominations: 4 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 1 Golden Globe Nominations: 1,Psycho,Psycho,https://www.imdb.com/title/tt0054215/,Movie,8.5,109,1960,"['Horror', 'Mystery', 'Thriller']",747791,1960-09-08,Alfred Hitchcock,5.0,5.0,5.0,0.0,4.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
13,tt0071562,2012-12-21,2017-03-26,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 6 Oscar Nominations: 11 BAFTA Awards: 1 BAFTA Nominations: 3 Golden Globes: 0 Golden Globe Nominations: 6,The Godfather Part II,The Godfather Part II,https://www.imdb.com/title/tt0071562/,Movie,9.0,202,1974,"['Crime', 'Drama']",1419319,1974-12-18,Francis Ford Coppola,5.0,5.0,5.0,6.0,11.0,1.0,3.0,0.0,6.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,tt0047296,2012-12-21,2017-03-26,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 8 Oscar Nominations: 12 BAFTA Awards: 1 BAFTA Nominations: 3 Golden Globes: 4 Golden Globe Nominations: 4,On the Waterfront,On the Waterfront,https://www.imdb.com/title/tt0047296/,Movie,8.1,108,1954,"['Crime', 'Drama', 'Thriller']",171066,1954-06-22,Elia Kazan,5.0,5.0,5.0,8.0,12.0,1.0,3.0,4.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,tt0043014,2012-12-21,2017-03-26,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 3 Oscar Nominations: 11 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 4 Golden Globe Nominations: 7,Sunset Boulevard,Sunset Boulevard,https://www.imdb.com/title/tt0043014/,Movie,8.4,110,1950,"['Drama', 'Film-Noir']",247303,1950-08-04,Billy Wilder,5.0,5.0,5.0,3.0,11.0,0.0,0.0,4.0,7.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,tt0109830,2012-12-21,2017-03-26,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 6 Oscar Nominations: 13 BAFTA Awards: 1 BAFTA Nominations: 7 Golden Globes: 3 Golden Globe Nominations: 7,Forrest Gump,Forrest Gump,https://www.imdb.com/title/tt0109830/,Movie,8.8,142,1994,"['Drama', 'Romance']",2360789,1994-07-06,Robert Zemeckis,5.0,5.0,5.0,6.0,13.0,1.0,7.0,3.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,tt0059742,2012-12-21,2017-03-26,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 5 Oscar Nominations: 10 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 2 Golden Globe Nominations: 4,The Sound of Music,The Sound of Music,https://www.imdb.com/title/tt0059742/,Movie,8.1,172,1965,"['Biography', 'Drama', 'Family', 'Musical', 'Romance']",273783,1965-04-01,Robert Wise,5.0,5.0,5.0,5.0,10.0,0.0,1.0,2.0,4.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18,tt0050083,2013-04-06,2017-03-26,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 0 Oscar Nominations: 3 BAFTA Awards: 1 BAFTA Nominations: 2 Golden Globes: 0 Golden Globe Nominations: 4,12 Angry Men,12 Angry Men,https://www.imdb.com/title/tt0050083/,Movie,9.0,96,1957,"['Crime', 'Drama']",916629,1957-04-10,Sidney Lumet,5.0,5.0,5.0,0.0,3.0,1.0,2.0,0.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,tt0055614,2012-12-21,2017-03-26,***** Actors: 4.9 Stars Direction: 4.9 Stars Screenplay: 4.8 StarsOscars: 10 Oscar Nominations: 11 BAFTA Awards: 0 BAFTA Nominations: 1 Golden Globes: 3 Golden Globe Nominations: 5,West Side Story,West Side Story,https://www.imdb.com/title/tt0055614/,Movie,7.6,153,1961,"['Crime', 'Drama', 'Musical', 'Romance']",124237,1961-12-23,"Jerome Robbins, Robert Wise",4.9,4.9,4.8,10.0,11.0,0.0,1.0,3.0,5.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20,tt0076759,2016-06-23,2017-03-26,Actors: 4.8 Stars Direction: 5 Stars Screenplay: 4.9 StarsOscars: 6 Oscar Nominations: 10 BAFTA Awards: 1 BAFTA Nominations: 5 Golden Globes: 1 Golden Globe Nominations: 4,Star Wars: Episode IV - A New Hope,Star Wars,https://www.imdb.com/title/tt0076759/,Movie,8.6,121,1977,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",1498133,1977-05-25,George Lucas,4.8,5.0,4.9,6.0,10.0,1.0,5.0,1.0,4.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
